,storage_target,rel,hp_average
0,"[2261116730.4520454, 2355854087.4781694, 2158921157.6515675, 2325976976.1918893, 2499198890.821256, 2499635304.3589306, 2491748234.477224, 2480301768.3577595, 2387906622.3870444, 2164269075.31703, 2113125878.2901714, 2197166306.1085324]",0.9900657071339174,682.6263304208037
1,"[2149181078.038063, 2098190013.2671895, 2115705146.3266695, 2143615753.854812, 2165218757.150898, 2158068219.859752, 2215713182.110649, 2308831020.1593323, 2216412199.120487, 2160755294.6768246, 2242311970.6081223, 2118084897.1449535]",0.8501642678347935,815.9579302110255
2,"[2181628505.771362, 2120812343.0583348, 2159976200.1391406, 2480115321.2334857, 2494276627.483596, 2499442988.9823, 2491575800.5853567, 2497037592.8472676, 2326845108.2801886, 2160730542.9463344, 2221620762.4806566, 2101775645.2166197]",0.9891270337922403,709.5718025906815
3,"[2147322487.719901, 2098109056.716396, 2115808379.8804588, 1098962179.3273878, 2171431554.157382, 2479608078.0871053, 2452883129.715947, 2388223286.0784144, 2280643460.951261, 2160730502.201799, 2180360317.278262, 2118078782.8703613]",0.9270181476846058,767.7830855969837
4,"[2152406709.172013, 2101057588.1988707, 2127814237.5501428, 2339135295.8366475, 2490445246.5144877, 2499514878.381067, 2481606941.0453553, 2380873549.756739, 2408310328.726341, 2161013279.8638053, 2140368402.4578762, 2199100754.398233]",0.9832212140175219,722.5936860511716
5,"[2098119754.6970239, 2124355615.1744637, 2126607993.6454966, 938563524.3484248, 2029598675.4847987, 2499773829.726722, 2459541440.497779, 2497037592.8472676, 2326773519.697905, 2150437532.1227984, 2108718816.157125, 2118088800.5054734]",0.9120775969962454,771.4961071671846
6,"[2141919392.7256083, 2102364182.6106834, 2115856226.5349658, 2265397577.621605, 2466787132.990829, 2497129683.072541, 2483102632.739602, 2401765531.539047, 2248319894.7624087, 2206620181.3967347, 2180355710.2125964, 2118078782.8703613]",0.9780193992490613,732.6169249686815
7,"[2130902540.1526754, 2099873171.7976494, 2114462234.5276, 1078872272.605302, 2173675216.4103403, 2479784044.692312, 2483376226.3201118, 2271082791.776313, 2250667765.0550957, 2151962410.3878355, 2264583015.5467253, 2118643056.080368]",0.9172794117647058,769.0580505893664
8,"[2185452230.027663, 2099434639.1613922, 2124601146.2045937, 976236949.8379538, 2481757339.9401555, 2499773829.726722, 2491575800.5853567, 2440530424.782543, 2243461839.2008166, 2156844128.145796, 2178612251.2400403, 2118158452.1253734]",0.9731304755944932,733.7506638129347
9,"[2230067019.4391537, 2101057588.1988707, 2116382967.9420223, 2339135295.8366475, 2490445246.5144877, 2494362532.547154, 2489594551.277465, 2492292097.3084865, 2408310328.726341, 2161013279.8638053, 2140368402.4578762, 2199100754.398233]",0.984590112640801,717.448834425244
10,"[2122517214.905133, 2098109056.716396, 2125394436.6333196, 1170445049.179224, 2118045419.0590062, 2196319768.970714, 2476891761.514365, 2342174956.8646355, 2243586128.011294, 2150245438.4583387, 2180355710.2125964, 2118078782.8703613]",0.8705413016270338,802.3873461529923
11,"[2122517214.905133, 2098109056.716396, 2125394436.6333196, 1098962179.3273878, 2143841668.4308093, 2168285585.034025, 2476601671.1149583, 2341397998.0710597, 2243586128.011294, 2150245438.4583387, 2180355710.2125964, 2118078782.8703613]",0.8665128285356696,805.5113523444892
12,"[2186450547.850049, 2122655957.0182772, 2126340149.510656, 2143615753.854812, 2358048737.958812, 2167897971.6299725, 2214176069.050243, 2443687908.344942, 2239515006.3021903, 2160755294.6768246, 2180360317.278262, 2118084897.1449535]",0.8558354192740927,809.7328404743852
13,"[2261116730.4520454, 2101057588.1988707, 2117947570.732863, 2368058078.303245, 2490445246.5144877, 2494891631.808885, 2496328724.4974365, 2444359221.0453906, 2246955433.3097816, 2161013279.8638053, 2140368402.4578762, 2199100754.398233]",0.9861936795994993,713.8568615326114
14,"[2147322487.719901, 2101392110.242642, 2115808379.8804588, 2180163318.3225627, 2175779269.3868494, 2267026240.7902, 2452883129.715947, 2470645457.6086283, 2277485880.9012628, 2111861380.3851666, 2183735224.3421974, 2117299595.6473925]",0.8940863579474343,786.7776346171366
15,"[2147322487.719901, 2099552619.1037738, 2115808379.8804588, 1098962179.3273878, 2171431554.157382, 2319524845.410247, 2453863498.178545, 2385888953.033938, 2280643460.951261, 2160866201.2916675, 2180360317.278262, 2118078782.8703613]",0.9033166458072591,779.4283744026083
16,"[2136586219.0255644, 2100767328.4081235, 2116124389.8023992, 2261239124.68012, 2348084140.938398, 2283174278.116436, 2491418921.7549815, 2474210780.684343, 2246951626.7186203, 2164461316.377573, 2108108126.803381, 2121147498.175524]",0.9091442428035044,775.2178417427393
17,"[2178872915.714653, 2102305836.0419245, 2116122231.5663502, 2294162566.635702, 2489286022.0506206, 2489938416.2528763, 2493289853.8704553, 2477765217.9372783, 2213373586.6564054, 2160703636.0423923, 2234501755.3045835, 2118078782.8703613]",0.981226533166458,726.5934040754238
18,"[2125904264.3789108, 2099645876.635282, 2105513292.3056786, 941842325.497514, 2153668618.578869, 2148926203.3789663, 2452883129.715947, 2406659689.5870934, 2212596557.7359533, 2152009379.7986965, 2180360317.278262, 2118085105.186983]",0.8611154568210263,808.9107650120325
19,"[2132479420.537312, 2099467745.9321415, 2124887712.1891503, 943451423.8606372, 2171601090.527618, 2479641048.3808837, 2484059326.32024, 2434540231.1281543, 2243237639.04673, 2151962410.3878355, 2205592902.3627305, 2130559194.8037932]",0.9295994993742178,766.4339522678939
