Solution number,reduction,reduction_depth,baltimore_vol_rel,baltimore_reservoir_fraction,chester_rel
0,0.9999858202515268,0.9828212098115862,0.9999994369520228,0.806026833753986,0.8644454586946599
1,0.9993659469107531,0.016107355580762088,0.9999762700349984,0.7659850647564881,0.8845276129621178
2,0.057384618139599955,1.4633416537982715,0.9337458837031029,0.9227718284769539,0.8393427658603377
3,0.815457363628025,5.181327193769463,0.9865235865725622,0.9269739844819717,0.8384299406663624
4,0.8123481100493941,5.180539108818355,0.9862965301724798,0.9269739844819718,0.8384299406663624
5,0.9970865447720336,0.01593571037222019,0.9998909615113222,0.766433454679714,0.8845276129621178
6,0.505477889565161,0.07795207244386859,0.9785579185343178,0.8597440832417309,0.8566864445458695
7,0.36143496924124685,0.19307209105728185,0.9696892911004515,0.8862177737859509,0.850296668188042
8,0.6562669107142378,0.09686153476839587,0.985566661700461,0.8328071343320168,0.8621633957097216
9,0.8805418856883604,0.31035933310669106,0.9952565696279723,0.8007416117671022,0.8708352350524875
10,0.467209744434232,0.0037318181128445215,0.9766554703175199,0.8642777727744617,0.8557736193518941
11,0.4151936078020119,0.8512301040473763,0.9725079605675977,0.8874226434050676,0.848927430397079
12,0.6209551205804862,0.006514567591320396,0.9840839210832517,0.8358595814832543,0.8626198083067093
13,0.2642458885433643,0.06467083108303862,0.9597031066294859,0.8965060068591879,0.8484710178000913
14,0.15746991676281208,0.3160009083629062,0.9469332946203869,0.9112132815527842,0.8457325422181652
15,0.1364847750162823,0.24491758488568013,0.9440350698550033,0.912576917694701,0.8448197170241899
16,0.09477884559914729,1.545607482296855,0.9380268493107585,0.9205072543917011,0.8397991784573254
17,0.286532300298239,0.5236853672001285,0.9605980868717876,0.8988713658582008,0.847558192606116
18,0.4202151615633133,0.183050698378798,0.9738025107233078,0.8769478066660403,0.851665905979005
19,0.07047381625246797,1.279243994949372,0.9346658912381927,0.920867047252657,0.8397991784573254
20,0.12288462773869008,0.29335652204300533,0.9423529832927299,0.914253851162614,0.8429940666362392
21,0.1831898078464666,0.29335652204300533,0.9496716677586821,0.9079502099241834,0.8461889548151529
22,0.37379569516383815,4.341738494424046,0.9582721001797899,0.9178387000182976,0.8397991784573254
23,0.7849665509460049,0.2286827928796195,0.9912651862319464,0.8139222183094121,0.8676403468735737
24,0.6114406279283028,0.1252782520521049,0.9833297211434323,0.8415625650559938,0.8612505705157463
25,0.7179210723383134,5.116669707800954,0.9796583886031279,0.9246101274653657,0.83888635326335
26,0.8848475316636439,0.24609879548204822,0.9954800948074273,0.797590870473705,0.8717480602464628
27,0.9351559284645985,0.09245038281340814,0.997513965308547,0.7823982245754764,0.8767685988133272
28,0.4557355562534062,0.331608357198415,0.9756559034745933,0.8739422170264346,0.851665905979005
29,0.5270773523272374,0.33236277100256534,0.979278606035333,0.8621235761022592,0.854404381560931
30,0.9970865447720336,0.022911522947782703,0.9998909615113222,0.766888537539035,0.882701962574167
31,0.4174114228906075,0.4092144952369616,0.9731440226891607,0.8807457843952563,0.8512094933820173
32,0.774032416675421,0.44036485922286495,0.9905116304583014,0.8227045113707502,0.8635326335006847
33,0.3445845733801097,1.8324164617002696,0.9623083780218593,0.9023874640748845,0.8411684162482884
34,0.24920101234838948,0.5266548060708836,0.9568230614130064,0.903024759796946,0.8471017800091283
35,0.7096748955620299,0.99426201578619,0.9874117366857108,0.8461893476099258,0.8553172067549064
36,0.6339295398160871,0.30948017575170017,0.9841274789057635,0.8426434328217532,0.8603377453217709
37,0.18130474916590122,0.8204179895623722,0.9476872044195465,0.9102843077408665,0.8452761296211775
38,0.8202226219386836,0.4421173835644224,0.9926973132599467,0.8156250630650597,0.8662711090826107
39,0.10697600371774886,0.0665728070922137,0.9408998268092529,0.9150224731029969,0.8429940666362392
40,0.5638608241559642,0.13371355875912785,0.9810893556799709,0.8500965854858196,0.8585120949338202
41,0.3685157985870772,1.3402841833953674,0.9659903533698194,0.8953483472508911,0.8466453674121406
42,0.8762897610106543,0.7930308199286529,0.9948618750579504,0.8180841140507806,0.863076220903697
43,0.2717288270897579,2.109292394264433,0.9547946693218652,0.909155140171235,0.8407120036513007
44,0.8979722259875007,0.23241088136861576,0.9959952585280352,0.794351107370641,0.8731172980374258
45,0.9238455123867237,0.3231539839135331,0.9970108233981096,0.7937732437676209,0.8726608854404382
46,0.7333344741763338,0.1518580472814662,0.9890461445348561,0.8200210831660525,0.865814696485623
47,0.12288462773869008,0.05787535909591664,0.943153636302553,0.9134280075022309,0.8443633044272022
48,0.9140163967604729,0.6701913834379988,0.9965072840308908,0.8091985838275808,0.8649018712916476
49,0.8514890995117438,0.4682223251616252,0.9939673801262185,0.8116997454064523,0.8667275216795983
50,0.5620473630528049,0.883443809193972,0.9806109512624926,0.8667136307716461,0.8525787311729804
51,0.4253166998845185,0.06526348747834992,0.9742953156497866,0.8729647280917224,0.8521223185759927
52,0.2276406856233848,0.019005492550437087,0.9559356849397183,0.900558010162327,0.847558192606116
53,0.7333344741763338,1.3825311445918747,0.9884375970090147,0.8532175479139719,0.8512094933820173
54,0.7849665509460049,0.31556153968370815,0.9911670422570243,0.8174067605551474,0.8667275216795983
55,0.2276406856233848,0.6156532880972886,0.9538205978168247,0.9056118903183078,0.8461889548151529
56,0.37287774593470413,1.7827270819418997,0.9656528204071948,0.8999609856601407,0.8416248288452761
57,0.9754199026195167,0.2950362144055246,0.9990464133832306,0.7840177447546471,0.8753993610223643
58,0.09855738317831247,1.4957596829577482,0.9382855351331568,0.9198425743375804,0.8402555910543131
59,0.34804502330352394,0.33236277100256534,0.9678634698844276,0.8898670726037201,0.8493838429940667
60,0.4174114228906075,0.5100174663750393,0.9731440226891607,0.8830319263736621,0.8507530807850296
61,0.31194448088372906,0.35247460444613987,0.9635716840632187,0.8936653672608861,0.848927430397079
62,0.5894641750903585,0.10816053307951108,0.9821994964096686,0.8449896701677322,0.8594249201277955
63,0.2053616613979236,0.031988768930499886,0.9528512167876446,0.9032682323606699,0.8466453674121406
64,0.8797176167172359,1.0777659120705885,0.994949347666812,0.8263133828008884,0.8585120949338202
65,0.09340771279654972,0.048525243034283745,0.9391743193889056,0.9165364848407688,0.8411684162482884
66,0.8251546132548552,0.3139135738247269,0.9928976543038256,0.8106179496870526,0.8680967594705614
67,0.9972030253120565,0.013569866657110574,0.9998953208925555,0.7664105413466471,0.8845276129621178
68,0.8396060500354665,0.1900943177520545,0.9936310937257347,0.8031773251873383,0.8699224098585121
69,0.6001435320609876,0.009230398849348379,0.983027543807244,0.8397710092258214,0.861706983112734
70,0.5250366889134375,0.04726428250250039,0.9794059723627456,0.8545569924796327,0.8575992697398448
71,0.7696097216477468,0.6023165699926929,0.9903259216757607,0.8298002973977964,0.8603377453217709
72,0.9140163967604729,1.1887456435485964,0.9963895520319321,0.8249332585273432,0.8575992697398448
73,0.23597674438862648,1.2832513633367546,0.9532728816741561,0.9071761009355288,0.8452761296211775
74,0.46261566071214943,0.08670077982599365,0.9762089087581372,0.8674699469750441,0.8539479689639434
75,0.7083859296115621,1.4083457676281286,0.987222751822323,0.8569262983154952,0.8507530807850296
76,0.7951123288063969,0.08214693137845804,0.9917708283591797,0.807055093369469,0.868553172067549
77,0.21640367503595523,1.3716358634275763,0.9506452337539759,0.9088657930692615,0.8443633044272022
78,0.9998536347906388,0.03362604402583493,0.9999945221601242,0.7677145129823811,0.8822455499771794
79,0.9853487281428361,0.9856224017088379,0.9994115417966997,0.8082781737178749,0.8639890460976722
80,0.32898823707461744,0.6465083809289058,0.9638615298835255,0.894640362703517,0.8480146052031036
81,0.2330877016398365,2.0280986921265853,0.9513460477078673,0.9118775231490452,0.8407120036513007
82,0.3588131376383277,0.3747797011815074,0.9686869035724787,0.889096221284835,0.8498402555910542
83,0.18783593844470065,0.0018404696021888285,0.9510699880760839,0.9052040697429417,0.8466453674121406
84,0.997391005782803,0.8253045252075213,0.9998964023291206,0.8027853546321998,0.865814696485623
85,0.5730817862002837,0.006514567591320396,0.9814891691871415,0.8444308141123131,0.8603377453217709
86,0.9774821854288787,0.05284129443095282,0.9991572520333949,0.7720744440081555,0.8808763121862163
87,0.31108205239435593,0.06467083108303862,0.9647837470872512,0.8903853009646395,0.8498402555910542
88,0.8358663439771107,0.23241088136861576,0.9934076851985328,0.8053282203054632,0.8694659972615244
89,0.7700249277869645,1.210819232313265,0.9900284656046379,0.8441770986344916,0.8534915563669557
90,0.6984733152523506,0.17094146696400114,0.987338906893298,0.8276241050030982,0.8644454586946599
91,0.5922009233952611,1.4083457676281286,0.9819459103465725,0.8722089980241279,0.8493838429940667
92,0.9554476353199663,0.04004676081431836,0.9983122563813588,0.7754762264185552,0.8795070743952533
93,0.5485399892987165,0.003459881430980246,0.9804250565875753,0.8487354014661127,0.8589685075308079
94,0.4555563216816238,0.09728684377213728,0.9758963775459231,0.8690246526055512,0.8534915563669557
95,0.3087669899694294,0.1359353216317088,0.964349917784822,0.8917734687504744,0.8493838429940667
96,0.9968378722488527,0.50158862696599,0.9998773250301924,0.7905914184877588,0.8722044728434505
97,0.9999672005919502,0.30761341734314335,0.9999987425147073,0.7800150863370167,0.8776814240073026
98,0.46261566071214943,0.17763487017878282,0.9762089087581372,0.8695813831261721,0.853035143769968
99,0.9208242658831419,1.074796472776981,0.996711550979172,0.8206159930581147,0.8594249201277955
